"FLAG_RESIL";"CLASS_AGE";"CLASS_OFFRE";"CLASS_DEP";"CLASS_VAR";"CLASS_TU";"CLASS_HORS_FFT";"CLASS_QT_M1";"CLASS_QT_M2";"CLASS_QT_M3";"CLASS_TYP_VAR";"CHOIX_OFFRE"
"858";"RESIL_NON";"[0:25]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"859";"RESIL_NON";"[26:40]";"O3O4";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"860";"RESIL_NON";"[0:25]";"O5O6";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"861";"RESIL_NON";"[61:110]";"O3O4";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"862";"RESIL_NON";"[61:110]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"864";"RESIL_NON";"[61:110]";"O5O6";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"867";"RESIL_NON";"[61:110]";"O3O4";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"869";"RESIL_NON";"[0:25]";"O7";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"870";"RESIL_NON";"[0:25]";"O3O4";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"872";"RESIL_NON";"[26:40]";"O1O2";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"875";"RESIL_NON";"[26:40]";"O1O2";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"876";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"877";"RESIL_NON";"[26:40]";"O3O4";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"878";"RESIL_NON";"[41:60]";"O5O6";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"879";"RESIL_NON";"[26:40]";"O7";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"881";"RESIL_NON";"[41:60]";"O7";"DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"883";"RESIL_OUI";"[26:40]";"O7";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"886";"RESIL_OUI";"[61:110]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"887";"RESIL_NON";"[0:25]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"890";"RESIL_OUI";"[61:110]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"892";"RESIL_NON";"[0:25]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"895";"RESIL_NON";"[41:60]";"O3O4";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"896";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"898";"RESIL_NON";"[61:110]";"O5O6";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"899";"RESIL_OUI";"[41:60]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"901";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"903";"RESIL_NON";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"904";"RESIL_NON";"[41:60]";"O1O2";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"905";"RESIL_NON";"[41:60]";"O5O6";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"907";"RESIL_NON";"[41:60]";"O1O2";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"908";"RESIL_NON";"[61:110]";"O5O6";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"910";"RESIL_NON";"[41:60]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"911";"RESIL_NON";"[26:40]";"O7";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"912";"RESIL_OUI";"[41:60]";"O3O4";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"914";"RESIL_OUI";"[41:60]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"915";"RESIL_NON";"[26:40]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"MOY_VAR";"CHOIXNON"
"917";"RESIL_NON";"[41:60]";"O5O6";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"918";"RESIL_NON";"[61:110]";"O5O6";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"921";"RESIL_NON";"[41:60]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"922";"RESIL_NON";"[41:60]";"O1O2";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"924";"RESIL_NON";"[26:40]";"O7";"NO_DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"925";"RESIL_NON";"[0:25]";"O1O2";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"926";"RESIL_NON";"[0:25]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"928";"RESIL_OUI";"[61:110]";"O1O2";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"931";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"932";"RESIL_NON";"[0:25]";"O5O6";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"933";"RESIL_OUI";"[0:25]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"935";"RESIL_NON";"[61:110]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"937";"RESIL_NON";"[26:40]";"O7";"DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"941";"RESIL_OUI";"[41:60]";"O7";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"943";"RESIL_OUI";"[26:40]";"O5O6";"NO_DEP";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXNON"
"944";"RESIL_NON";"[41:60]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"946";"RESIL_NON";"[61:110]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"MOY_VAR";"CHOIXOUI"
"948";"RESIL_NON";"[26:40]";"O1O2";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"949";"RESIL_OUI";"[0:25]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXOUI"
"951";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"954";"RESIL_OUI";"[26:40]";"O3O4";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"957";"RESIL_OUI";"[0:25]";"O1O2";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"958";"RESIL_NON";"[61:110]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"959";"RESIL_OUI";"[26:40]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"961";"RESIL_OUI";"[41:60]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"962";"RESIL_NON";"[41:60]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"968";"RESIL_OUI";"[41:60]";"O7";"DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"969";"RESIL_NON";"[26:40]";"O1O2";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"MOY_VAR";"CHOIXOUI"
"973";"RESIL_OUI";"[61:110]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"MOY_VAR";"CHOIXNON"
"974";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"975";"RESIL_NON";"[26:40]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"976";"RESIL_OUI";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"980";"RESIL_OUI";"[26:40]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"981";"RESIL_NON";"[26:40]";"O5O6";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"983";"RESIL_NON";"[61:110]";"O3O4";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"984";"RESIL_OUI";"[61:110]";"O7";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"985";"RESIL_NON";"[41:60]";"O5O6";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"987";"RESIL_OUI";"[0:25]";"O3O4";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"988";"RESIL_NON";"[0:25]";"O3O4";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"991";"RESIL_NON";"[61:110]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"992";"RESIL_NON";"[26:40]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"994";"RESIL_OUI";"[0:25]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"995";"RESIL_NON";"[41:60]";"O1O2";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"MOY_VAR";"CHOIXOUI"
"996";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"997";"RESIL_NON";"[41:60]";"O7";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"998";"RESIL_NON";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"1004";"RESIL_NON";"[61:110]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1005";"RESIL_OUI";"[41:60]";"O3O4";"DEP";"PAS_VARIATION";"UTIL_NORMAL";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1009";"RESIL_NON";"[26:40]";"O5O6";"NO_DEP";"PAS_VARIATION";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1012";"RESIL_NON";"[26:40]";"O5O6";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"1013";"RESIL_NON";"[0:25]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1015";"RESIL_NON";"[41:60]";"O5O6";"DEP";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"1016";"RESIL_NON";"[0:25]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"1017";"RESIL_OUI";"[41:60]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"1022";"RESIL_OUI";"[61:110]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"1024";"RESIL_NON";"[0:25]";"O1O2";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"1025";"RESIL_NON";"[61:110]";"O5O6";"NO_DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1027";"RESIL_NON";"[41:60]";"O1O2";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1029";"RESIL_OUI";"[0:25]";"O1O2";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"1030";"RESIL_NON";"[26:40]";"O3O4";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"1031";"RESIL_NON";"[26:40]";"O7";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"1033";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"1034";"RESIL_NON";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"1037";"RESIL_NON";"[41:60]";"O7";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"1039";"RESIL_OUI";"[0:25]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1041";"RESIL_NON";"[41:60]";"O5O6";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"1043";"RESIL_OUI";"[0:25]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1044";"RESIL_OUI";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"1046";"RESIL_NON";"[26:40]";"O1O2";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1048";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"CHOIXNON"
"1049";"RESIL_NON";"[61:110]";"O1O2";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"1050";"RESIL_NON";"[26:40]";"O1O2";"DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1051";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"PAS_VARIATION";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1052";"RESIL_NON";"[41:60]";"O1O2";"DEP";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
"1055";"RESIL_OUI";"[26:40]";"O1O2";"NO_DEP";"CROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"1057";"RESIL_OUI";"[26:40]";"O3O4";"DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"1058";"RESIL_OUI";"[0:25]";"O3O4";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXNON"
"1059";"RESIL_NON";"[41:60]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"1062";"RESIL_NON";"[26:40]";"O5O6";"DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXNON"
"1063";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"1065";"RESIL_NON";"[61:110]";"O3O4";"DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"CHOIXOUI"
"1066";"RESIL_NON";"[41:60]";"O5O6";"DEP";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXNON"
"1067";"RESIL_NON";"[26:40]";"O3O4";"NO_DEP";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"CHOIXOUI"
"1070";"RESIL_OUI";"[61:110]";"O3O4";"NO_DEP";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"CHOIXOUI"
